epoch,step,min,max,mean,std
1,5000,-0.00038278536521829665,0.0021301843225955963,0.0001450312411179766,0.00026896948111243546
2,10000,-0.00020650861551985145,0.0009726179414428771,6.213863525772467e-05,0.0001101086672861129
3,15000,-0.001011939370073378,0.0005569771747104824,-3.923728581867181e-05,0.0001211029666592367
4,20000,-0.0010814052075147629,0.0002583320892881602,-5.846588101121597e-05,0.00012066645285813138
5,25000,-0.0005577028496190906,0.001645738142542541,3.677606946439482e-05,0.00016664975555613637
6,30000,-0.0004954576725140214,0.00029004295356571674,-6.2780022744846065e-06,6.630778807448223e-05
7,35000,-0.0006399700650945306,0.0012194322189316154,8.157930096786004e-06,0.00013087080151308328
8,40000,-0.00047668369370512664,0.0015136642614379525,2.630920243973378e-05,0.00012712569150608033
9,45000,-0.00010607689910102636,0.00036726053804159164,1.432291537639685e-05,4.518281639320776e-05
10,50000,-0.0006260297959670424,0.0001705362374195829,-1.996663741010707e-05,6.396336539182812e-05
