epoch,step,min,max,mean,std
1,5000,0.0003334619977977127,0.004769357852637768,0.0018325160490348935,0.0020768113899976015
2,10000,-6.253735045902431e-05,0.0016028282698243856,0.0007018108735792339,0.0006867165793664753
3,15000,-0.0011423605028539896,0.00030850066104903817,-0.00043722931877709925,0.0005930069019086659
4,20000,-0.0009435024112462997,-0.00024817255325615406,-0.0006387450266629457,0.00029028041171841323
5,25000,-0.00035677035339176655,0.0012766532599925995,0.0004625970032066107,0.0006668529822491109
6,30000,-0.00010454701259732246,0.00012683623936027288,6.354724519042065e-06,9.470438817515969e-05
7,35000,-0.00038170814514160156,0.0008737853495404124,0.00010862360795727,0.0005481573170982301
8,40000,-0.0004823863855563104,0.0008318047039210796,0.00022883550263941288,0.0005419492954388261
9,45000,4.1175197111442685e-05,0.000268185802269727,0.00017500051762908697,9.702976967673749e-05
10,50000,-0.0005890495958738029,-3.333378117531538e-05,-0.0002498264075256884,0.00024290205328725278
