epoch,step,min,max,mean,std
1,5000,-0.00014352380821947008,0.00013392129039857537,-1.0825507388290134e-06,3.2706437195884064e-05
2,10000,-0.00013552961172536016,0.00014166116307023913,5.76283753161988e-07,2.4931245206971653e-05
3,15000,-0.00013353423855733126,0.00014817288320045918,-1.8321367178941728e-07,2.5285502488259226e-05
4,20000,-0.0001495715114288032,0.00020695579587481916,1.2478927828851738e-06,3.5969198506791145e-05
5,25000,-0.00036258710315451026,0.0003620459756348282,-2.2824340248916997e-06,4.8797912313602865e-05
6,30000,-0.00021148350788280368,0.00018335251661483198,-5.393199558056949e-07,3.407560507184826e-05
7,35000,-0.0004218221001792699,0.0004042841901537031,-2.120868884958327e-06,4.642028943635523e-05
8,40000,-0.000218632398173213,0.00025884315255098045,-3.9155565900728106e-08,3.424766691750847e-05
9,45000,-0.00012410676572471857,0.00011161610018461943,-3.600970899242384e-07,2.137112278433051e-05
10,50000,-0.00017512726481072605,0.00015198683831840754,-1.5022283150756266e-06,3.0412993510253727e-05
