epoch,step,min,max,mean,std
1,5000,-0.0002780133218038827,0.00024475628742948174,9.182001122098882e-06,0.00010447145177749917
2,10000,-0.0001173435666714795,0.00016237303498201072,7.445588835253147e-06,4.938613346894272e-05
3,15000,-0.00019318779231980443,0.00016252674686256796,-4.514439751801547e-06,3.849510903819464e-05
4,20000,-0.00018173323769588023,0.00022195911151356995,-8.563738447264768e-06,5.426747156889178e-05
5,25000,-0.00019916825112886727,0.00022591733431909233,5.827257155033294e-06,6.132022099336609e-05
6,30000,-0.00016847833467181772,0.00011950210318900645,-8.01746637080214e-07,3.0389861422008835e-05
7,35000,-0.00012298709771130234,0.00027042883448302746,4.637799520423869e-06,4.569997327052988e-05
8,40000,-0.0001088753342628479,0.00016773898096289486,6.456752998929005e-06,3.326465957798064e-05
9,45000,-9.324150596512482e-05,8.782471559243277e-05,1.3755671943727066e-06,2.2927752070245333e-05
10,50000,-0.00012106548820156604,7.534061296610162e-05,-9.069430234376341e-06,3.069231752306223e-05
