epoch,step,min,max,mean,std
1,2000,-0.0002605049521662295,0.000509407720528543,2.4225781089626253e-05,0.00013057349133305252
2,4000,-0.00026181843713857234,0.00017579901032149792,8.754811460676137e-06,6.659455539193004e-05
3,6000,-0.00029666026239283383,0.0005765794776380062,1.0063580702990294e-05,0.0001265958562726155
4,8000,-0.000791911268606782,0.0005545938038267195,-5.293580034049228e-05,0.00026383137446828187
5,10000,-0.0010286289034411311,0.0015051817754283547,-3.2159605325432494e-05,0.00046534393914043903
6,12000,-0.001572857261635363,0.0013777493732050061,3.092090992140584e-05,0.00045564782340079546
7,14000,-0.002463300246745348,0.0034342333674430847,7.329384970944375e-05,0.0006764958961866796
8,16000,-0.0019141476368531585,0.0018488535424694419,-3.430926153669134e-05,0.0005746461683884263
9,18000,-0.0017719753086566925,0.0018392798956483603,0.00019546292605809867,0.0007246099994517863
10,20000,-0.001830419758334756,0.002001404296606779,-5.606052582152188e-06,0.0006028148345649242
