epoch,step,min,max,mean,std
1,2000,-0.0010224484140053391,0.0011581169674172997,-1.0486127166586812e-07,0.00016047518874984235
2,4000,-0.00043773106881417334,0.0005048640305176377,9.532182332350203e-08,5.106860407977365e-05
3,6000,-0.00032115017529577017,0.00038697553100064397,-1.3222449979366502e-07,4.392704431666061e-05
4,8000,-0.0005121903959661722,0.0005860957899130881,3.895082727467525e-07,3.7974004953866825e-05
5,10000,-0.00044758059084415436,0.0004459488845895976,-2.1450755127716548e-07,4.360165985417552e-05
6,12000,-0.0007793849217705429,0.00042510786443017423,-1.4998417441347556e-07,4.7408175305463374e-05
7,14000,-0.00047047508996911347,0.00039142268360592425,-5.404550620369264e-07,4.879689004155807e-05
8,16000,-0.0004001371853519231,0.0004288193886168301,5.354993248829487e-08,4.1842391510726884e-05
9,18000,-0.0003164157969877124,0.00037622751551680267,4.971386715624249e-07,4.180344694759697e-05
10,20000,-0.0011865370906889439,0.0007306028855964541,1.8587924444091186e-07,6.0861450037918985e-05
