epoch,step,min,max,mean,std
1,2000,-0.00029499258380383253,0.00014399107021745294,-2.3647771740797907e-05,7.834499410819262e-05
2,4000,-0.00017003438551910222,6.060677696950734e-05,-2.1476689653354697e-05,4.371932300273329e-05
3,6000,-0.00015469336358364671,0.0001481001527281478,-8.168510248651728e-06,5.691150727216154e-05
4,8000,-0.00010452642163727432,6.503871554741636e-05,-5.361308467399795e-06,2.9914057449786924e-05
5,10000,-0.0002569389471318573,0.00010935070167761296,-3.941142131225206e-05,8.387453272007406e-05
6,12000,-0.000406812148867175,0.00040249049197882414,-1.207326931762509e-05,0.00015353386697825044
7,14000,-0.0002188524667872116,0.00013231336197350174,-2.219245652668178e-05,8.173620153684169e-05
8,16000,-0.00032728322548791766,0.00037120660999789834,2.2424837879952975e-06,0.0001273385132662952
9,18000,-0.00017434670007787645,0.00011986243043793365,-1.1534789337019902e-05,6.26555920462124e-05
10,20000,-0.0002881679974962026,0.00010565725096967071,-3.487053618300706e-05,0.00011040247773053125
