epoch,step,min,max,mean,std
1,2000,-0.0005242242477834225,0.002467575017362833,0.0009225457324646413,0.001223371597006917
2,4000,-0.00199132040143013,0.0014402869855985045,-0.0003789931070059538,0.0014085700968280435
3,6000,-0.00378926913253963,0.0037484499625861645,0.0002845563867595047,0.003107337048277259
4,8000,-0.00017508759628981352,0.0022272453643381596,0.0013799770968034863,0.0011010699672624469
5,10000,-0.0004281830624677241,0.0013911655405536294,0.00028666126308962703,0.0007922051590867341
6,12000,-0.0015498470747843385,0.0011953506618738174,7.315011316677555e-05,0.0011753370054066181
7,14000,-0.0013981806114315987,0.0004910655552521348,-0.0003225211112294346,0.0007932315347716212
8,16000,-0.0020763464272022247,0.0012687628623098135,-0.0003350628830958158,0.0013690897030755877
9,18000,-0.0021140228491276503,-0.0007527347188442945,-0.0012106888461858034,0.0006387742469087243
10,20000,-0.001667872886173427,0.0007425083895213902,-0.0005500221741385758,0.0009917557472363114
