epoch,step,min,max,mean,std
1,2000,-0.0005951790371909738,0.0007109093712642789,2.4397204470005818e-06,0.0001468405098421499
2,4000,-0.0002292206190759316,0.00022591825108975172,-9.681438086772687e-07,5.578212585533038e-05
3,6000,-0.00024180434411391616,0.00018747238209471107,-9.965313552129373e-08,5.368267011363059e-05
4,8000,-0.0003777593665290624,0.0004801639006473124,-2.012710183407762e-06,8.718619210412726e-05
5,10000,-0.000806291529443115,0.0009323838166892529,4.478938109286901e-08,0.0001448663097107783
6,12000,-0.0007745883776806295,0.0007095097098499537,-6.865431259939214e-06,0.00016050221165642142
7,14000,-0.001956001855432987,0.002302030101418495,1.5460436770808883e-05,0.00032444382668472826
8,16000,-0.000874021090567112,0.0008413391769863665,-4.5302376747713424e-06,0.0001819294411689043
9,18000,-0.000908129324670881,0.0008074389770627022,2.8264298634894658e-06,0.00016977207269519567
10,20000,-0.005686347372829914,0.004733096808195114,-5.06679862155579e-06,0.00043807283509522676
