epoch,step,min,max,mean,std
1,2000,-0.027589179575443268,0.01930866949260235,-0.0001368421653751284,0.003872165223583579
2,4000,-0.008945179171860218,0.008304678834974766,-8.614200055490073e-07,0.001425449037924409
3,6000,-0.006392096634954214,0.006265084724873304,-1.6637452063150704e-05,0.0010178806260228157
4,8000,-0.0008282727794721723,0.001305509707890451,1.8755121118374518e-06,0.0001610405888641253
5,10000,-0.0003676103660836816,0.00030940669239498675,5.685896667273482e-06,8.999815327115357e-05
6,12000,-0.00023352472635451704,0.0002492672356311232,-2.4285006929858355e-06,7.393124542431906e-05
7,14000,-0.000560153042897582,0.00017863951507024467,-7.67526125855511e-06,7.943726086523384e-05
8,16000,-0.0001859748299466446,0.0001980552333407104,2.619076212795335e-06,4.787647048942745e-05
9,18000,-0.0001473939628340304,0.00017593051597941667,-4.192485505427612e-07,4.3021114834118634e-05
10,20000,-0.0006444633472710848,0.0004424696380738169,-2.5168267256958643e-06,7.203649875009432e-05
