epoch,step,min,max,mean,std
1,2000,-0.00017534691141918302,0.00017361223581247032,-8.642625289212447e-06,6.883562309667468e-05
2,4000,-0.00017417520575691015,5.089488695375621e-05,-1.7612102965358645e-05,4.650141272577457e-05
3,6000,-0.0001833921269280836,0.00018238017219118774,4.516754415817559e-06,7.02133183949627e-05
4,8000,-7.681992428842932e-05,0.000238094013184309,5.096849054098129e-05,8.145666652126238e-05
5,10000,-0.00016791082452982664,0.00013683407451026142,1.0593746992526576e-05,5.336714457371272e-05
6,12000,-0.0002706160885281861,0.00016646346193738282,-1.6584703189437278e-05,8.337939652847126e-05
7,14000,-0.0002746699028648436,0.00020053054322488606,-1.764204353094101e-05,9.3231545179151e-05
8,16000,-0.00036628887755796313,0.0003509590751491487,-1.0471399036759976e-06,0.0001413807476637885
9,18000,-0.0003512394323479384,0.0001384034112561494,-4.663075742428191e-05,0.0001381485490128398
10,20000,-0.0003243838145863265,0.0002816832566168159,-6.740213848388521e-06,0.00011746939708245918
