epoch,step,min,max,mean,std
1,2000,-0.0008370483992621303,0.001147464383393526,-8.534948960914335e-07,0.00015531090321019292
2,4000,-0.0003970302059315145,0.0004401289043016732,-8.235605264417245e-08,5.241642793407664e-05
3,6000,-0.00037891004467383027,0.0005249739624559879,-3.155662398057757e-07,4.859651016886346e-05
4,8000,-0.00029475591145455837,0.00030653784051537514,1.759540779744384e-08,3.8994534406811e-05
5,10000,-0.00041444471571594477,0.000561656488571316,1.6767918964433193e-07,4.736544724437408e-05
6,12000,-0.0005372046725824475,0.00047873309813439846,1.750499905028846e-07,4.016414095531218e-05
7,14000,-0.0005230673123151064,0.0006515788263641298,1.948872068169294e-07,4.821642869501375e-05
8,16000,-0.00046158814802765846,0.0004696518590208143,2.005713781727536e-07,4.0606413676869124e-05
9,18000,-0.00045390217565000057,0.0004844767099712044,7.632897904841229e-07,4.447422907105647e-05
10,20000,-0.0008746635867282748,0.0005429729353636503,1.1769359531399459e-07,4.930992508889176e-05
