epoch,step,min,max,mean,std
1,2000,-0.055092703551054,0.02584046497941017,-4.675066520576365e-05,0.005392786115407944
2,4000,-0.006342817097902298,0.005049869418144226,-4.594851634465158e-05,0.0010679536499083042
3,6000,-0.007128765806555748,0.007335711270570755,-2.0650319129345007e-05,0.0009321858524344862
4,8000,-0.0009598210453987122,0.0006891319644637406,4.334662207838846e-06,0.00019966297259088606
5,10000,-0.0006362877320498228,0.00039736414328217506,-3.452109240242862e-06,8.971709758043289e-05
6,12000,-0.0002391464076936245,0.00024015172675717622,-3.4883414627984166e-06,6.020658474881202e-05
7,14000,-0.0003697987413033843,0.0002843777765519917,1.0754588402051013e-06,7.404836651403457e-05
8,16000,-0.00020908683654852211,0.00011767307296395302,-3.862235189444618e-06,4.7271714720409364e-05
9,18000,-0.0002290502452524379,0.00020116301311645657,-3.309197893486271e-07,4.707775588030927e-05
10,20000,-0.0006060939631424844,0.0004063308297190815,-4.3501850655047747e-07,7.798314618412405e-05
