epoch,step,min,max,mean,std
1,2000,-0.00022343113960232586,0.0003097104199696332,2.046888039330952e-05,8.905991853680462e-05
2,4000,-5.787555346614681e-05,0.0001370948157273233,1.4161865692585707e-05,2.9181645004427992e-05
3,6000,-8.411705493927002e-05,0.0001113706748583354,5.011786015529651e-06,3.361403287271969e-05
4,8000,-0.00016044825315475464,5.783589949714951e-05,-3.7062847695779055e-05,3.6803325201617554e-05
5,10000,-0.00011775210441555828,0.00010497104813111946,-8.078549399215262e-06,4.411367262946442e-05
6,12000,-0.00023784386576153338,8.331771823577583e-05,-1.016944952425547e-05,4.5525517634814605e-05
7,14000,-0.0003075205604545772,0.00016308134945575148,3.2057146199804265e-06,5.7156343245878816e-05
8,16000,-0.00014811144501436502,0.0001576185313751921,-9.316720934293699e-06,4.967195127392188e-05
9,18000,-0.00011559348786249757,0.0001317544956691563,2.0324794604675844e-05,4.54861183243338e-05
10,20000,-0.00028454422135837376,0.0001757171266945079,-8.338928637385834e-06,7.182845001807436e-05
