epoch,step,min,max,mean,std
1,2000,-0.00017477269284427166,0.00043212564196437597,3.67680040653795e-05,9.174561273539439e-05
2,4000,-3.9205802750075236e-05,8.582272857893258e-05,1.4393299352377653e-05,2.33706505241571e-05
3,6000,-0.0001241036516148597,8.800110663287342e-05,-8.181050361599773e-06,3.291455504950136e-05
4,8000,-7.338279101531953e-05,8.157540287356824e-05,5.322121523931855e-06,3.058378570131026e-05
5,10000,-0.0003194387536495924,0.00017538675456307828,-2.4601376935606822e-05,5.6641249102540314e-05
6,12000,-0.00022847890795674175,0.00019288041221443564,-1.1225800335523672e-05,5.780908395536244e-05
7,14000,-0.00030387507285922766,0.0001829898974392563,-4.164835627307184e-05,7.106253906385973e-05
8,16000,-0.0002020389656536281,0.00012078714644303545,-1.6863952623680234e-05,5.1663049816852435e-05
9,18000,-0.00017792906146496534,0.00016809113731142133,7.338258910749573e-06,5.470436008181423e-05
10,20000,-0.0005576048861257732,0.000189552316442132,-6.196101821842603e-06,0.00010646842565620318
