epoch,step,min,max,mean,std
1,2000,-0.0037099409382790327,0.003370515303686261,-0.0006447124178521335,0.0029676128178834915
2,4000,-0.0007132036844268441,-0.00024428381584584713,-0.0005403078394010663,0.00021030433708801866
3,6000,-0.002429347950965166,0.003406016156077385,0.00074344826862216,0.002409442327916622
4,8000,-0.0021319619845598936,0.001316917478106916,-0.00011639747390290722,0.0014669591328129172
5,10000,0.00025850668316707015,0.0013011789415031672,0.0007360738236457109,0.0004301461158320308
6,12000,-0.0013166690478101373,0.0009239447535946965,9.999674512073398e-05,0.00100617203861475
7,14000,-7.427349919453263e-05,0.0023750204127281904,0.0012624062364920974,0.0010123945539817214
8,16000,-0.0019229846075177193,0.00041140656685456634,-0.0004269261553417891,0.0010604395065456629
9,18000,-0.0015562844928354025,-0.0005135235842317343,-0.0010304106399416924,0.000425752776209265
10,20000,-0.002317494945600629,0.0012151846894994378,-0.00038525208947248757,0.001461170264519751
