epoch,step,min,max,mean,std
1,2000,-0.030336184427142143,0.04065315052866936,-3.1498853786615655e-05,0.004733953159302473
2,4000,-0.014868229627609253,0.013792437501251698,-1.3173160368751269e-05,0.0019173661712557077
3,6000,-0.003916873596608639,0.005125537049025297,-1.0092041520692874e-05,0.0009966421639546752
4,8000,-0.0005972088547423482,0.000952727859839797,-1.0120277693204116e-05,0.0002435986534692347
5,10000,-0.00024511845549568534,0.0003587178944144398,-9.661310969022452e-07,8.291342237498611e-05
6,12000,-0.0004185133147984743,0.00020039999799337238,-4.799112048203824e-06,6.264095281949267e-05
7,14000,-0.00020870364096481353,0.00021765416022390127,2.7382513962947996e-06,5.6317439884878695e-05
8,16000,-0.0001652521750656888,0.0001632287458050996,-3.3202422855538316e-06,4.383969644550234e-05
9,18000,-0.00020573919755406678,0.00019040379265788943,-2.834538236129447e-06,4.563458060147241e-05
10,20000,-0.0002822987735271454,0.0003265959967393428,-2.172666199840023e-06,5.969840276520699e-05
