epoch,step,min,max,mean,std
1,2000,-0.0002255185245303437,0.00022773056116420776,1.0776961971714627e-06,7.802983600413427e-05
2,4000,-0.00010655306687112898,9.524340566713363e-05,-5.954206585556676e-07,3.225689215469174e-05
3,6000,-8.847247227095068e-05,0.00010116644989466295,4.386123237054562e-06,3.4052616683766246e-05
4,8000,-0.00011218298459425569,0.00013908767141401768,-6.692071565339575e-06,4.2654763092286885e-05
5,10000,-0.00033324561081826687,0.00019666578737087548,-1.341404095001053e-05,7.939236820675433e-05
6,12000,-0.0004705819592345506,0.0002868300653062761,-6.355266577884322e-06,8.88659487827681e-05
7,14000,-0.00022851434187032282,0.00019900521147064865,-1.8049140635412186e-05,7.641880074515939e-05
8,16000,-0.0001752544631017372,0.00029662257293239236,-9.034452887135558e-06,7.007655221968889e-05
9,18000,-0.00017710639804136008,0.00020275644783396274,2.6294542294635903e-06,7.853301212890074e-05
10,20000,-0.0009762540576048195,0.0002146491751773283,-3.430568540352397e-05,0.00014669248776044697
