epoch,step,min,max,mean,std
1,2000,-0.0005636558053083718,0.00048248417442664504,6.236590706976131e-06,0.00020253215916454792
2,4000,-0.00020350127306301147,0.0001813450362533331,2.5771469154278748e-06,7.645863661309704e-05
3,6000,-0.00017098215175792575,0.00024945626500993967,-4.611990334524307e-06,6.447938358178362e-05
4,8000,-0.00018409508629702032,0.00023871459416113794,-5.745532689616084e-07,6.827931065345183e-05
5,10000,-0.0004130981396883726,0.0005099311238154769,1.064225762092974e-05,0.000148515056935139
6,12000,-0.0003037863352801651,0.0004024518420919776,1.914556742121931e-05,0.00014357293548528105
7,14000,-0.0005655597196891904,0.00043374858796596527,1.057424560713116e-05,0.00019837383297272027
8,16000,-0.0007310115033760667,0.0006853431696072221,-5.378606147132814e-07,0.00020711813704110682
9,18000,-0.0008388246060349047,0.0009064605110324919,5.5369901019730605e-06,0.0002819549117702991
10,20000,-0.0007473992300219834,0.0010410880204290152,-8.378496204386465e-06,0.00030673068249598145
