epoch,step,min,max,mean,std
1,2000,-0.0006660750950686634,0.0008609393844380975,-1.900146799016511e-06,0.00015743151016067713
2,4000,-0.0002485031436663121,0.00028640447999350727,-3.7053553114674287e-07,5.53612298972439e-05
3,6000,-0.0002790428407024592,0.00035540774115361273,-3.201962073262621e-08,5.75825288251508e-05
4,8000,-0.0004032948345411569,0.00036681050551123917,-1.6974546497294796e-06,7.664486474823207e-05
5,10000,-0.0007430361001752317,0.0005313713918440044,1.9416529539739713e-06,0.00013055339513812214
6,12000,-0.000802491616923362,0.0009653247543610632,3.0657436127512483e-06,0.00016561000666115433
7,14000,-0.0017360106576234102,0.001483283587731421,6.105433953962347e-07,0.0002593134995549917
8,16000,-0.0008413480245508254,0.0009300098172388971,5.096679615235189e-06,0.0001930457801790908
9,18000,-0.0009966526413336396,0.0008940670522861183,3.1920853871270083e-06,0.00020760286133736372
10,20000,-0.007565750274807215,0.01115753035992384,1.837398303905502e-05,0.0007021885830909014
