epoch,step,min,max,mean,std
1,2000,-0.00016931202844716609,0.00029728730442002416,8.895081009541173e-07,7.773320976411924e-05
2,4000,-6.965837383177131e-05,9.994198626372963e-05,5.8258137869415805e-08,3.136758823529817e-05
3,6000,-8.485100261168554e-05,7.650971383554861e-05,2.461340955051128e-06,3.0430946935666725e-05
4,8000,-0.00020141215645708144,0.00017176906112581491,5.999477252771612e-06,5.282981874188408e-05
5,10000,-0.00028655343339778483,0.00024408416356891394,-5.01087743032258e-06,9.0972644102294e-05
6,12000,-0.0001832582929637283,0.0001529083092464134,7.190692485892214e-06,6.895832484588027e-05
7,14000,-0.00047347694635391235,0.00026145525043830276,-5.4943811846897006e-05,0.00011699947935994714
8,16000,-0.00025867996737360954,0.00023463499383069575,-5.086668807052774e-06,7.734175596851856e-05
9,18000,-0.00024215482699219137,0.00017831980949267745,-1.2831990716222208e-05,6.811757339164615e-05
10,20000,-0.0006456160917878151,0.00029103056294843554,-1.1705180895660305e-06,0.00012361652625259012
