epoch,step,min,max,mean,std
1,2000,-0.00041652421350590885,0.0004063126107212156,2.1690240828320384e-05,0.00014815358736086637
2,4000,-0.00016480559133924544,0.0002433739136904478,1.7119164112955332e-06,6.467429193435237e-05
3,6000,-0.0002067675959551707,0.00017825844406615943,-8.027379863051465e-07,6.801005656598136e-05
4,8000,-0.0002469275495968759,0.00034379740827716887,1.3997494079376338e-06,9.611968562239781e-05
5,10000,-0.00045698165195062757,0.0003832168586086482,-1.1339107004459947e-06,0.0001522617822047323
6,12000,-0.0005209463415667415,0.0005476258229464293,-6.272048722166801e-06,0.00017251711688004434
7,14000,-0.0011160143185406923,0.0006359422113746405,3.2676052796887234e-06,0.0002518301480449736
8,16000,-0.0005257916636765003,0.0005101069691590965,-1.1081083357566968e-06,0.00017800217028707266
9,18000,-0.0006216500769369304,0.0006707045249640942,4.305302354623564e-06,0.00023166020400822163
10,20000,-0.0026919532101601362,0.005093198269605637,-2.3889144358690828e-05,0.0007434254512190819
