epoch,step,min,max,mean,std
1,2000,-0.0006227378617040813,0.0007467729737982154,-4.2323740672145505e-06,0.0001676348183536902
2,4000,-0.0002916915691457689,0.0003010864893440157,7.089196856213675e-07,6.146789382910356e-05
3,6000,-0.0003137456369586289,0.00023516404326073825,2.1554469640250318e-06,5.605414480669424e-05
4,8000,-0.0003019723226316273,0.0002415403287159279,1.4622642083850224e-06,6.367457535816357e-05
5,10000,-0.0005557186086662114,0.0007423857459798455,-3.7841975881747203e-06,0.00012758113734889776
6,12000,-0.0006175680900923908,0.0007655734079889953,-5.673042323905975e-06,0.00014966250455472618
7,14000,-0.0010725866304710507,0.001257471740245819,-1.9553222045942675e-06,0.00022707552125211805
8,16000,-0.0009167830576188862,0.0011196170235052705,-6.888576535857283e-06,0.00019485531083773822
9,18000,-0.0013973066816106439,0.0012513264082372189,-7.8375142038567e-06,0.00022660156537313014
10,20000,-0.0020489366725087166,0.0019636782817542553,4.749112576973857e-06,0.0002788621059153229
