epoch,step,min,max,mean,std
1,2000,-0.00025667797308415174,0.0003284117847215384,1.5510258890572004e-05,0.00011625143088167533
2,4000,-0.0002236713480670005,0.00023309121024794877,7.68881909607444e-06,6.30732174613513e-05
3,6000,-0.00025440307217650115,0.0002465399738866836,1.8822405763785355e-05,0.00010463188664289191
4,8000,-0.0006912635290063918,0.0007388552185148001,3.489730443106964e-05,0.00022927091049496084
5,10000,-0.001759686041623354,0.0019496141467243433,0.00011672565597109497,0.0005855773342773318
6,12000,-0.0019974978640675545,0.0023210246581584215,9.092547406908125e-05,0.0005733315483666956
7,14000,-0.0037659734953194857,0.0019004956120625138,-8.203133620554581e-05,0.0008629436488263309
8,16000,-0.0023468947038054466,0.0018638854380697012,-2.1060308426967822e-05,0.0005865874118171632
9,18000,-0.0013172444887459278,0.0013753053499385715,2.8039008611813188e-05,0.00047674350207671523
10,20000,-0.003185817040503025,0.002278366591781378,0.0001669126213528216,0.0007721153669990599
