epoch,step,min,max,mean,std
1,2000,-0.00020762097847182304,0.0002557413827162236,9.077941285795532e-06,7.202305278042331e-05
2,4000,-8.213312685256824e-05,6.668742571491748e-05,-3.968807504861616e-09,3.0126442652544938e-05
3,6000,-0.00012073063408024609,0.00010886380187002942,-4.975995580025483e-07,3.976885273004882e-05
4,8000,-0.00017491714970674366,0.0001638516114326194,5.536020580620971e-06,6.95354538038373e-05
5,10000,-0.00021081807790324092,0.00019504294323269278,1.5834561963856686e-06,8.940311090555042e-05
6,12000,-0.000248303753323853,0.00029423096566461027,-1.263350532099139e-05,9.60045144893229e-05
7,14000,-0.00030599458841606975,0.00035654252860695124,1.3640985343954526e-05,0.00011902095866389573
8,16000,-0.00018139535677619278,0.00020360969938337803,1.997376330109546e-06,8.028939919313416e-05
9,18000,-0.00031695421785116196,0.00028506937087513506,-1.1284519132459536e-05,8.983690349850804e-05
10,20000,-0.00045903422869741917,0.00045204267371445894,2.680898796825204e-05,0.00014666302013210952
