epoch,step,min,max,mean,std
1,2000,-0.0005330531275831163,0.0005019654054194689,9.163150934909936e-06,0.0001706752082100138
2,4000,-0.00014135718811303377,0.00020352884894236922,5.257260454527568e-06,7.271334470715374e-05
3,6000,-0.00014536987873725593,0.00017800182104110718,2.8828608265030198e-06,5.4378604545490816e-05
4,8000,-0.00034369280911050737,0.0002293672732776031,5.967296601738781e-06,9.327959560323507e-05
5,10000,-0.00037600641371682286,0.0004674975643865764,1.9426220205787104e-06,0.0001475299068260938
6,12000,-0.0003720538516063243,0.0005215268465690315,1.0493287845747545e-05,0.00016000900359358639
7,14000,-0.0011787846451625228,0.0015669368440285325,-2.7377587684895843e-05,0.00034202318056486547
8,16000,-0.0005157479317858815,0.0005663475021719933,-8.467044608551078e-06,0.00021771283354610205
9,18000,-0.0006039545987732708,0.0003987169184256345,-6.8169779297022615e-06,0.00017514260252937675
10,20000,-0.00252388883382082,0.0021792042534798384,-4.892564902547747e-06,0.0004921072977595031
