epoch,step,min,max,mean,std
1,2000,-0.0003246452833991498,0.0002649242233019322,-3.2680531148798764e-05,0.00010780165757751092
2,4000,-0.00016832198889460415,4.9961250624619424e-05,-2.0595494788722135e-05,4.2410749301780015e-05
3,6000,-0.00021891918731853366,0.00020381150534376502,2.112764741468709e-05,7.781040767440572e-05
4,8000,-0.00026810396229848266,0.00015621643979102373,-2.229356687166728e-05,7.772298704367131e-05
5,10000,-8.50680225994438e-05,0.00022899601026438177,3.316246875328943e-05,7.129245932446793e-05
6,12000,-0.00027523335302248597,0.000233024635235779,-1.8629994883667678e-05,9.174143633572385e-05
7,14000,-0.00012366574082989246,0.00036045644083060324,3.656498665804975e-05,0.0001150006937677972
8,16000,-0.0003052920801565051,0.00024091327213682234,-6.814616426709108e-06,0.0001003285578917712
9,18000,-0.0002776677720248699,0.0001628641621209681,-2.5451623514527455e-05,0.00010769503569463268
10,20000,-0.0004526303382590413,0.0005087426397949457,-2.510134663680219e-06,0.00016765895998105407
