epoch,step,min,max,mean,std
1,2000,-0.001677049556747079,0.0013063097139820457,1.3756428529632103e-07,0.00015002839791122824
2,4000,-0.0005102316499687731,0.00043465191265568137,-4.4495607198768994e-10,5.240893369773403e-05
3,6000,-0.00026901497039943933,0.0002689882821869105,-2.4908608509122132e-08,4.1488783608656377e-05
4,8000,-0.0004620109684765339,0.0004080635844729841,-5.517224010986865e-08,4.2387982830405235e-05
5,10000,-0.0005467955488711596,0.00042064604349434376,3.752400346002105e-07,4.796432767761871e-05
6,12000,-0.0004826438380405307,0.0005313095171004534,4.2923701926156355e-07,4.176302536507137e-05
7,14000,-0.000639436999335885,0.00043957895832136273,-1.292488178705753e-07,5.7870096497936174e-05
8,16000,-0.0009806487942114472,0.00040753898792900145,-2.5004212034218654e-08,4.43295284640044e-05
9,18000,-0.0003674915060400963,0.00035079236840829253,5.562742444453761e-07,3.958556044381112e-05
10,20000,-0.0008561651920899749,0.0005229079397395253,6.301313533185748e-07,5.239356687525287e-05
