epoch,step,min,max,mean,std
1,2000,-0.003194579388946295,0.001779830432496965,-0.0006011332152411342,0.002036344725638628
2,4000,-0.0011242595501244068,0.0005486637819558382,-0.0004225262673571706,0.0007090478902682662
3,6000,-0.0037035609129816294,0.0029748619999736547,-0.0003633724118117243,0.0027264549862593412
4,8000,-0.000464334967546165,0.0009642639197409153,6.783779099350795e-05,0.0006375652155838907
5,10000,-0.0012534118723124266,0.00014510651817545295,-0.0006098242592997849,0.0005763455992564559
6,12000,-0.0019416902214288712,0.002032433170825243,0.00042074345401488245,0.0017070688772946596
7,14000,-0.0010986566776409745,0.00016349053476005793,-0.0004199818940833211,0.0005196483107283711
8,16000,-0.0017683173064142466,0.0010990097653120756,-0.0002108276094077155,0.0011836073826998472
9,18000,-0.0010338635183870792,0.0007374088163487613,-0.00023510145547334105,0.0007334815454669297
10,20000,-0.0016080024652183056,-0.0004626033769454807,-0.0008867017459124327,0.0005126608302816749
