epoch,step,min,max,mean,std
1,2000,-0.00030186818912625313,0.0005549074849113822,3.2545569411013275e-05,0.0001336683053523302
2,4000,-0.0001311738305957988,0.0001513156748842448,8.902716217562556e-06,5.80298546992708e-05
3,6000,-0.000307214620988816,0.00031954492442309856,-6.241436494747177e-06,0.0001158905288320966
4,8000,-0.0011392581509426236,0.0011517776874825358,5.079125185147859e-05,0.00032058084616437554
5,10000,-0.0020118681713938713,0.001684290124103427,-0.00011894169438164681,0.0005770656862296164
6,12000,-0.0023057106882333755,0.0017053618794307113,7.51289990148507e-05,0.000643842970021069
7,14000,-0.0024399198591709137,0.0023483543191105127,-0.00013720283459406346,0.0007495483732782304
8,16000,-0.0020145708695054054,0.0027206228114664555,-8.056242222664878e-06,0.0005928854807280004
9,18000,-0.0016209714813157916,0.0018043116433545947,8.423350664088503e-05,0.0006061525200493634
10,20000,-0.0024960560258477926,0.0027924624737352133,-4.978376819053665e-05,0.0009146722732111812
